Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-06-13,2017,6,13,Tuesday,24,2017-24,22.0,22.0,22.0,22.0,100,22.0,0.0,22.0,22.0
2017-06-14,2017,6,14,Wednesday,24,2017-24,22.0,22.0,22.0,22.0,0,22.0,0.0,22.0,22.0
2017-06-15,2017,6,15,Thursday,24,2017-24,22.0,22.0,22.0,22.0,0,22.0,0.0,22.0,22.0
2017-06-16,2017,6,16,Friday,24,2017-24,13.0,14.99,12.96,13.2,444100,13.2,-0.4000000086697665,19.8,19.8
2017-06-19,2017,6,19,Monday,25,2017-25,17.26,18.84,13.27,13.56,87600,13.56,0.02727277390556293,18.552,18.552
2017-06-20,2017,6,20,Tuesday,25,2017-25,13.25,13.73,13.05,13.21,29200,13.21,-0.0258112367727803,17.661666666666665,17.661666666666665
2017-06-21,2017,6,21,Wednesday,25,2017-25,13.26,13.95,13.26,13.67,23200,13.67,0.034822107253490886,17.091428571428573,17.091428571428573
2017-06-22,2017,6,22,Thursday,25,2017-25,13.5,13.74,13.26,13.41,13200,13.41,-0.019019767917391572,16.63125,16.63125
2017-06-23,2017,6,23,Friday,25,2017-25,13.4,13.6,13.34,13.39,19300,13.39,-0.0014913873465266514,16.27111111111111,16.27111111111111
2017-06-26,2017,6,26,Monday,26,2017-26,13.69,13.69,13.2,13.5,10400,13.5,0.008215060034117094,15.994,15.994
2017-06-27,2017,6,27,Tuesday,26,2017-26,13.4,13.44,12.15,13.2,63600,13.2,-0.022222236350730618,15.739999999999998,15.739999999999998
2017-06-28,2017,6,28,Wednesday,26,2017-26,13.1,13.35,13.1,13.1,7700,13.1,-0.007575714336391148,15.520000000000001,15.520000000000001
2017-06-29,2017,6,29,Thursday,26,2017-26,13.15,13.43,13.1,13.2,6900,13.2,0.007633543884232319,15.34153846153846,15.34153846153846
2017-06-30,2017,6,30,Friday,26,2017-26,13.01,13.3,13.01,13.19,2700,13.19,-0.0011363174140281984,15.187857142857142,15.187857142857142
2017-07-03,2017,7,3,Monday,27,2017-27,13.11,13.3,13.11,13.3,1500,13.3,0.008722014975977244,14.566428571428572,15.062000000000001
2017-07-05,2017,7,5,Wednesday,27,2017-27,13.16,13.16,13.07,13.13,10600,13.13,-0.012781960440299223,13.932857142857143,14.94125
2017-07-06,2017,7,6,Thursday,27,2017-27,13.0,13.5,13.0,13.33,12500,13.33,0.015232277800604876,13.313571428571427,14.846470588235293
2017-07-07,2017,7,7,Friday,27,2017-27,13.17,13.3,13.1,13.19,42300,13.19,-0.01050265147217122,13.312857142857144,14.754444444444443
2017-07-10,2017,7,10,Monday,28,2017-28,13.34,13.34,13.1,13.2,11300,13.2,0.0007581674905212665,13.287142857142857,14.672631578947367
2017-07-11,2017,7,11,Tuesday,28,2017-28,13.0,13.2,13.0,13.19,6300,13.19,-0.0007575931080556764,13.285714285714286,14.598500000000001
2017-07-12,2017,7,12,Wednesday,28,2017-28,13.05,13.25,13.05,13.16,56500,13.16,-0.002274430168732411,13.249285714285714,14.53
2017-07-13,2017,7,13,Thursday,28,2017-28,13.0,13.25,13.0,13.18,18400,13.18,0.0015197916410010226,13.232857142857142,14.468636363636364
2017-07-14,2017,7,14,Friday,28,2017-28,13.16,13.2,13.15,13.17,21500,13.17,-0.0007587426897029959,13.217142857142857,14.412173913043478
2017-07-17,2017,7,17,Monday,29,2017-29,13.07,13.22,13.07,13.19,29000,13.19,0.0015185652219815715,13.194999999999999,14.36125
2017-07-18,2017,7,18,Tuesday,29,2017-29,13.04,13.27,13.04,13.18,15300,13.18,-0.001137178932950511,13.193571428571428,14.314
2017-07-19,2017,7,19,Wednesday,29,2017-29,13.08,13.16,13.08,13.16,23100,13.16,-0.0011385459662689446,13.197857142857142,14.269615384615385
2017-07-20,2017,7,20,Thursday,29,2017-29,13.1,13.2,13.1,13.19,9300,13.19,0.002279614993847545,13.197142857142856,14.22962962962963
2017-07-21,2017,7,21,Friday,29,2017-29,13.15,13.18,12.95,13.15,59100,13.15,-0.0030325976592536774,13.194285714285714,14.19107142857143
2017-07-24,2017,7,24,Monday,30,2017-30,13.04,13.19,13.0,13.19,20900,13.19,0.003041822282387141,13.18642857142857,14.156551724137932
2017-07-25,2017,7,25,Tuesday,30,2017-30,13.06,13.18,13.05,13.18,21200,13.18,-0.0007580951876898778,13.19,14.123999999999999
2017-07-26,2017,7,26,Wednesday,30,2017-30,13.02,13.14,13.02,13.14,5400,13.14,-0.0030348984011266955,13.17642857142857,14.092258064516129
2017-07-27,2017,7,27,Thursday,30,2017-30,13.14,13.19,13.12,13.15,11600,13.15,0.0007609798284822222,13.173571428571426,14.0628125
2017-07-28,2017,7,28,Friday,30,2017-30,13.14,13.19,13.13,13.19,6200,13.19,0.003041822282387141,13.172857142857142,14.036363636363635
2017-07-31,2017,7,31,Monday,31,2017-31,13.1,13.15,13.1,13.15,4900,13.15,-0.0030325976592536774,13.17,14.01029411764706
2017-08-01,2017,8,1,Tuesday,31,2017-31,13.1,13.19,13.1,13.15,5600,13.15,0.0,13.169285714285715,13.985714285714286
2017-08-02,2017,8,2,Wednesday,31,2017-31,13.12,13.15,13.11,13.15,3800,13.15,0.0,13.167142857142858,13.962499999999999
2017-08-03,2017,8,3,Thursday,31,2017-31,13.15,13.2,13.11,13.2,2700,13.2,0.003802295983674764,13.169285714285715,13.941891891891892
2017-08-04,2017,8,4,Friday,31,2017-31,13.2,13.45,13.19,13.45,11800,13.45,0.0189393942130609,13.187857142857142,13.928947368421051
2017-08-07,2017,8,7,Monday,32,2017-32,13.3,13.3,13.15,13.3,3400,13.3,-0.011152388152968262,13.196428571428571,13.912820512820513
2017-08-08,2017,8,8,Tuesday,32,2017-32,13.18,13.3,13.16,13.3,7700,13.3,0.0,13.206428571428573,13.897499999999999
2017-08-09,2017,8,9,Wednesday,32,2017-32,13.21,13.45,13.15,13.34,9200,13.34,0.003007515885668388,13.217142857142859,13.883902439024391
2017-08-10,2017,8,10,Thursday,32,2017-32,13.43,13.45,13.3,13.4,15700,13.4,0.004497711038687235,13.235,13.872380952380952
2017-08-11,2017,8,11,Friday,32,2017-32,13.38,13.59,13.38,13.4,25100,13.4,0.0,13.25,13.861395348837208
2017-08-14,2017,8,14,Monday,33,2017-33,13.97,14.47,13.6,14.45,36900,14.45,0.07835822541986226,13.340714285714286,13.874772727272727
2017-08-15,2017,8,15,Tuesday,33,2017-33,14.5,15.0,13.58,14.75,50300,14.75,0.020761259148426303,13.455714285714288,13.894222222222222
2017-08-16,2017,8,16,Wednesday,33,2017-33,14.37,14.64,13.65,13.76,19400,13.76,-0.06711862855038397,13.499285714285715,13.891304347826088
2017-08-17,2017,8,17,Thursday,33,2017-33,13.72,14.44,13.2,14.3,39400,14.3,0.03924418262142049,13.578571428571431,13.899999999999999
2017-08-18,2017,8,18,Friday,33,2017-33,14.4,14.4,13.45,13.74,61400,13.74,-0.03916086798233265,13.620714285714286,13.896666666666667
2017-08-21,2017,8,21,Monday,34,2017-34,13.65,14.56,13.65,14.32,19300,14.32,0.04221251334554088,13.704285714285716,13.90530612244898
