Week_Number,x21,y21,z21
1,-0.0064012095114998405,0.034993566401460646,red
2,-0.0103310540277846,0.012806930817585715,green
3,0.01795782765094225,0.01631062267491509,red
4,0.0011709999730494997,0.035954297643071696,red
5,0.06938312311547694,0.06548456593280984,red
6,0.01282232347733692,0.028343425391698637,red
7,0.03940640078554415,0.03798794796560802,red
8,-0.02121220002552282,0.05027200576331009,red
9,-0.01440674663292994,0.06862806262873308,green
10,0.03271788462687516,0.038920357071531464,red
11,-0.027252714027690285,0.01846677976752671,red
12,-0.021021770304110184,0.023498070454821173,red
13,-0.04054666052893815,0.04633260362225531,red
14,-0.024984358108791536,0.036719409651338984,red
15,0.0012139455933111594,0.03385165020331724,red
16,0.00168121263983568,0.028449159974966116,red
17,0.01087179410128182,0.01689565052284712,red
18,-0.00028421600344052044,0.018909304214749484,green
19,-0.006526759471307181,0.038329334496730816,green
20,0.008916140040348002,0.01620348734488907,red
21,0.017126941175833278,0.021720853018349865,red
22,0.0005971380860060248,0.02681676739919701,red
23,0.017071342219543158,0.02538618603049169,red
24,-0.007197678733973501,0.03589221695855437,red
25,0.0029109667040315202,0.017583322677617343,red
26,-0.012179263401432841,0.01569271137970177,green
27,-0.00842412007858015,0.022101262664056823,red
28,0.0025438259314909,0.011477821416594277,green
29,0.01680286228693052,0.025328776360794718,red
30,0.0013950904941899,0.010558829923005171,red
31,-0.003750618787368539,0.030988341920345722,red
32,-0.0141598815731104,0.03465310017509934,red
33,0.01157530980881476,0.03189269484270689,green
34,0.02762302814746286,0.027713247668908966,red
35,-0.01185746586508226,0.022704997182010352,red
36,-0.01000424163371405,0.009409189601627467,red
37,0.006970180066775279,0.021247280373829048,green
38,0.05004525554326744,0.05323789499307443,red
39,-0.01619285248135672,0.030923029352849414,red
40,-0.0036019645244178195,0.00946948601782702,red
41,-0.00669815030685116,0.007383644834597115,red
42,-0.01143173939640652,0.014163315530645981,red
43,0.0014732496571595595,0.02385489903883839,red
44,0.0022466508253747,0.011838822263799535,red
45,-0.007393368217995919,0.02208368192937253,red
46,-0.025055323698417842,0.027781102689632728,red
47,-0.004431562145854149,0.023899241893430814,red
48,-0.012375028577091999,0.023959249324695325,red
49,-0.0015187470427585389,0.026114347344432652,green
50,0.00105528618900588,0.017177524055858238,green
51,0.012991121336546774,0.041402660133828165,red
52,-0.0021330961613908496,0.01616293446058843,
