Week_Number,x20,y20,z20
0,0.010652317892811049,0.0077884896126980095,green
1,-0.005579147512600781,0.02002220735303751,red
2,-0.0015467831278557997,0.014662856933598003,green
3,-0.0006836497620113001,0.010481653919259011,green
4,-0.00458003075793064,0.005911947120321419,red
5,0.00404374191336008,0.005699661275747223,green
6,-0.0015403109461319402,0.006831776983439009,red
7,0.00031647742490425014,0.013782617875131948,green
8,-0.009598601791555018,0.0263757581675084,red
9,-0.01864566093039434,0.05664021643944964,red
10,-0.034871248277902375,0.04350645863149965,red
11,0.023874226419278034,0.10785373640659134,green
12,0.014106256514353741,0.062248126084195936,green
13,-0.01114782359992812,0.04638329319186862,red
14,0.028213623617810227,0.05982963658199481,green
15,-0.014950324926005579,0.031789764816008904,red
16,-0.004607337699977919,0.04213594196839682,red
17,-0.00479305700990816,0.02819172390856864,red
18,0.033055503247742576,0.0608283219667102,green
19,-0.0046264156361991784,0.039824071342758074,red
20,0.006883957613467301,0.014299594323722489,red
21,-0.029231515846189153,0.0846543175850233,red
22,0.00044739161589530015,0.01414434703647823,red
23,-0.01109610981570812,0.020037616559583752,red
24,0.0054299090057664,0.011372471303771885,red
25,-0.01589136470839344,0.03587086597562392,red
26,0.01995896568650395,0.05231783203625875,green
27,-0.00714658535423286,0.02211737282319395,red
28,0.007226830976878459,0.01450586200232512,red
29,0.0023671294996485,0.01498293883619675,red
30,-1.8245833203839974e-05,0.016405874218652007,red
31,0.0032162018597223993,0.015124969175978059,green
32,0.0027361954919837396,0.026023569458019806,red
33,0.00795974938958898,0.02539493834067376,red
34,-0.0006743582912931007,0.025937895016539782,red
35,-0.012448703908952339,0.020204384124098775,red
36,0.0063361510669602255,0.01587623132345933,green
37,-0.00561012413763178,0.02414708895832838,red
38,-0.00355777005079116,0.02586866578537606,red
39,0.01115983342927892,0.011734596891359467,green
40,0.01370059555483508,0.00977902577900015,red
41,0.0018734663192437,0.011695989320179612,green
42,-0.00039721223161087954,0.02649340942007408,green
43,-0.01921116787917432,0.025009085988412092,red
44,0.01088149064811914,0.0161655877815876,green
45,0.032307523030081595,0.0203351560243489,green
46,0.018466219065871,0.027491957131505703,red
47,0.014325513987082174,0.04121357109939409,red
48,0.00593703782159814,0.010867420367898012,red
49,-0.0046680339913201,0.011919763589307316,red
50,0.02435344888014058,0.04425558376011668,green
51,0.0029426126469948265,0.04700569769149799,green
52,0.015641619126528224,0.0252177637894183,green
